Format name,Page type,Filter next iteration
ANIMA_SGR-IT24,investments,TRUE
ANIMA_SGR-IT24,merges,
CARNE-EN23,investments,TRUE
CARNE-EN23,fund_assets,
CARNE-EN23,manco,
MEDIOLANUM-EN24,investments,TRUE
MEDIOLANUM-EN24,inv_managers_end,
MEDIOLANUM-EN24,inv_managers,TRUE
MEDIOLANUM-EN24,inv_managers_begin,
MEDIOLANUM-ES24.A,investments,TRUE
MEDIOLANUM-ES24.A,manco,
MEDIOLANUM-ES24.B,cover,
MEDIOLANUM-ES24.B,investments,
EURIZON-EN23,investments,TRUE
EURIZON-EN23,fund_assets,
EURIZON-EN23,inv_managers_end,
EURIZON-EN23,inv_managers,TRUE
EURIZON-EN23,inv_managers_begin,TRUE
EURIZON-EN23,manco,
EURIZON-EN23,renaming,
EURIZON-EN23,subsequent_events,
EURIZON-IT24,investments,TRUE
EURIZON-IT24,manco,
EURIZON-IT24,merges,
MEDIOLANUM-IT24.A,investments,TRUE
MEDIOLANUM-IT24.A,fund_assets,
MEDIOLANUM-IT24.A,inv_managers_end
MEDIOLANUM-IT24.A,inv_managers,TRUE
MEDIOLANUM-IT24.A,inv_managers_begin
FINECO-EN23@IR,investments,TRUE
FINECO-EN23@IR,fund_assets,
FINECO-EN23@IR,inv_managers_table,TRUE
FINECO-EN23@IR,manco
FINECO-EN23@LUX,investments,TRUE
FINECO-EN23@LUX,fund_assets,
FINECO-EN23@LUX,inv_managers
FIDEURAM-IT24,investments,TRUE
FIDEURAM-IT24,manco,
KAIROS-EN23,investments,TRUE
KAIROS-EN23,fund_assets,
KAIROS-EN23,manco
KAIROS-EN23,merges,
ANIMA-EN23,investments,TRUE
ANIMA-EN23,year_events,
ANIMA-EN23,manco,
ANIMA-EN23,fund_assets
UBS-EN23,investments,TRUE
UBS-EN23,manco
